grupo,categoria,Tipo_generacion,Titulo,Ano,Pais,Idioma,Medio_divulgacion,Sitio_web,Emisora,Instituciones_participantes,Autores
CONTAS,Generación de Contenido Multimedia,Otro,Conferencia entidades del régimen tributario especial,2018, Colombia,Español,Electrónico,//www.youtube.com/watch?v=gMEIeeufm7I&t=112s,Universidad Catolica Luis Amigó,Universidad Catolica Luis Amigó,MARIA VICTORIA AGUDELO VARGAS
CONTAS,Generación de Contenido Multimedia,Otro,Defensa pública de tesis doctoral,2017, Venezuela,Español,Electrónico,//www.youtube.com/watch?v=8_7Dzbqejhg,Universidad de los Andes,Universidad de los Andes,MARIA VICTORIA AGUDELO VARGAS
FILOSOFIA Y TEOLOGIA CRITICA,Generación de Contenido Multimedia,Otro,Filosofía de la cultura,2019, Colombia,Español,Electrónico,,Fundación universitaria Cátolica del norte,Fundación universitaria Cátolica del norte,ANDRES FELIPE AGUDELO ZORRILLA
FILOSOFIA Y TEOLOGIA CRITICA,Generación de Contenido Multimedia,Otro,Antropología filosófica,2019, Colombia,Español,Electrónico,,Fundación universitaria Cátolica del norte,Fundación universitaria Cátolica del norte,ANDRES FELIPE AGUDELO ZORRILLA
FILOSOFIA Y TEOLOGIA CRITICA,Generación de Contenido Multimedia,Entrevista,Hora de Consultar 2018 Grupo de investigación Filosofía y Teología crítica,2017, Colombia,Español,Electrónico,//youtu.be/rjVR6QCqySU,Universidad Católica Luis Amigó,Universidad Católica Luis Amigó,DAVID ESTEBAN ZULUAGA MESA
FILOSOFIA Y TEOLOGIA CRITICA,Generación de Contenido Multimedia,Otro,Escuela de Formación a Distancia Didajé. Módulo Mariano: Santa María la Virgen. No. 11,2009, Colombia,Español,Electrónico,//www.minutodediosmed.org/tierra%20nueva/Didajemd.htm,Emisora Minuto de Dios,,JANNETH MUNOZ RENDON
FILOSOFIA Y TEOLOGIA CRITICA,Generación de Contenido Multimedia,Otro,Escuela de Formación a Distancia Didajé. Módulo Mariano: Santa María la Virgen. No. 17,2008, Colombia,Español,Electrónico,//www.minutodediosmed.org/tierra%20nueva/Didajemd.htm,Minuto de Dios,,JANNETH MUNOZ RENDON
FILOSOFIA Y TEOLOGIA CRITICA,Generación de Contenido Multimedia,Otro,Escuela de Formación a Distancia Didajé. Módulo Mariano: Santa María la Virgen. No. 19,2008, Colombia,Español,Electrónico,//www.minutodediosmed.org/tierra%20nueva/Didajemd.htm,Emisora Minuto de Dios,,JANNETH MUNOZ RENDON
FILOSOFIA Y TEOLOGIA CRITICA,Generación de Contenido Multimedia,Otro,Escuela de Formación a Distancia Didajé. Módulo Mariano: Santa María la Virgen. No. 21,2008, Colombia,Español,Electrónico,//www.minutodediosmed.org/tierra%20nueva/Didajemd.htm,Emisora Minuto de Dios,,JANNETH MUNOZ RENDON
FILOSOFIA Y TEOLOGIA CRITICA,Generación de Contenido Multimedia,Otro,Escuela de Formación a Distancia Didajé. Módulo Mariano: Santa María la Virgen. No. 20,2008, Colombia,Español,Electrónico,//www.minutodediosmed.org/tierra%20nueva/Didajemd.htm,Emisora Minuto de Dios,,JANNETH MUNOZ RENDON
